city,speciality,profile_url,name,degree,year_of_experience,location,dp_score,npv,consultation_fee,google_map_link,scraped_at
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist?practice_id=1235728&specialization=Doctor&referrer=doctor_listing&page_uid=2b8c643e-5a10-4eb9-8296-5b191e8a2d08,Dr. Shyam Padmanabhan,BDS,2001,New Thippasandra,99.0,1,0,"http://www.google.com/maps/place/12.975938481932,77.654982741741",2025-08-17T23:39:04.609515
Bangalore,Chiropractor,https://www.practo.com/bangalore/doctor/dr-shyam-padmanabhan-dentist?practice_id=1235728&specialization=Doctor&referrer=doctor_listing&page_uid=6fe49baf-5224-4122-9c5a-0604b90c374e,Dr. Shyam Padmanabhan,BDS,2001,New Thippasandra,99.0,1,0,"http://www.google.com/maps/place/12.975938481932,77.654982741741",2025-08-17T23:39:07.567535
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-ramesh-21-cardiologist?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. B. Ramesh,DM,29,Bannerghatta Road,98.0,21,0,"http://www.google.com/maps/place/12.89666,77.59855",2025-08-17T23:39:10.532238
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-n-praveen-kumar-cardiologist/recommended?practice_id=742157&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. N Praveen Kumar,MBBS,2009,Bangalore,88.0,1,2009,"https://www.google.com/maps/search/Dr.+N+Praveen+Kumar+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:13.580676
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-shyam-sunder-k-r-cardiologist?practice_id=1319951&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Shyam Sunder K R,MBBS,38,JP Nagar,93.0,1,0,"http://www.google.com/maps/place/12.9108543526037,77.58517026901245",2025-08-17T23:39:16.531099
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-abhijeet-vikas-kulkarni-cardiologist/recommended?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Abhijit Vilas Kulkarni,MBBS,15,Bangalore,94.0,1,15,"https://www.google.com/maps/search/Dr.+Abhijit+Vilas+Kulkarni+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:19.549355
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-n-praveen-kumar-cardiologist?practice_id=742157&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. N Praveen Kumar,MBBS,2009,Yelahanka,88.0,1,0,"http://www.google.com/maps/place/13.09958,77.58133",2025-08-17T23:39:22.662843
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-ramesh-21-cardiologist/recommended?practice_id=728755&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. B. Ramesh,DM,29,Bangalore,98.0,21,21,"https://www.google.com/maps/search/Dr.+B.+Ramesh+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:25.567561
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-karthik-vasudevan-cardiologist-1?practice_id=1131812&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Karthik Vasudevan,MBBS,1,Yeshwanthpur,,1,0,"http://www.google.com/maps/place/13.01418,77.55595",2025-08-17T23:39:28.506585
Bangalore,Cardiologist,https://www.practo.com/bangalore/doctor/dr-keshav-r-cardiologist/recommended?practice_id=630200&specialization=Cardiologist&referrer=doctor_listing&page_uid=4f3d6a2a-9752-4844-bc9a-9f262748e51a,Dr. Keshava R,,33,Bangalore,95.0,1,33,"https://www.google.com/maps/search/Dr.+Keshava+R+a,abbr,acronym,address,applet,article,aside,audio,b,big,blockquote,body,canvas,caption,center,cite,c+Bangalore",2025-08-17T23:39:31.584797
